"Service","Method","Path","Endpoint"
"alarms","GET","/{domainID}/alarms","GET /{domainID}/alarms"
"alarms","DELETE","/{domainID}/alarms/{alarmID}","DELETE /{domainID}/alarms/{alarmID}"
"alarms","GET","/{domainID}/alarms/{alarmID}","GET /{domainID}/alarms/{alarmID}"
"alarms","PUT","/{domainID}/alarms/{alarmID}","PUT /{domainID}/alarms/{alarmID}"
"alarms","GET","/health","GET /health"
"auth","GET","/health","GET /health"
"auth","POST","/keys","POST /keys"
"auth","DELETE","/keys/{keyID}","DELETE /keys/{keyID}"
"auth","GET","/keys/{keyID}","GET /keys/{keyID}"
"auth","DELETE","/pats","DELETE /pats"
"auth","GET","/pats","GET /pats"
"auth","POST","/pats","POST /pats"
"auth","DELETE","/pats/{patID}","DELETE /pats/{patID}"
"auth","GET","/pats/{patID}","GET /pats/{patID}"
"auth","PATCH","/pats/{patID}/description","PATCH /pats/{patID}/description"
"auth","PATCH","/pats/{patID}/name","PATCH /pats/{patID}/name"
"auth","DELETE","/pats/{patID}/scope","DELETE /pats/{patID}/scope"
"auth","GET","/pats/{patID}/scope","GET /pats/{patID}/scope"
"auth","PATCH","/pats/{patID}/scope/add","PATCH /pats/{patID}/scope/add"
"auth","PATCH","/pats/{patID}/scope/remove","PATCH /pats/{patID}/scope/remove"
"auth","PATCH","/pats/{patID}/secret/reset","PATCH /pats/{patID}/secret/reset"
"auth","PATCH","/pats/{patID}/secret/revoke","PATCH /pats/{patID}/secret/revoke"
"bootstrap","GET","/{domainID}/clients/configs","GET /{domainID}/clients/configs"
"bootstrap","POST","/{domainID}/clients/configs","POST /{domainID}/clients/configs"
"bootstrap","DELETE","/{domainID}/clients/configs/{configID}","DELETE /{domainID}/clients/configs/{configID}"
"bootstrap","GET","/{domainID}/clients/configs/{configID}","GET /{domainID}/clients/configs/{configID}"
"bootstrap","PUT","/{domainID}/clients/configs/{configID}","PUT /{domainID}/clients/configs/{configID}"
"bootstrap","PATCH","/{domainID}/clients/configs/certs/{configID}","PATCH /{domainID}/clients/configs/certs/{configID}"
"bootstrap","PUT","/{domainID}/clients/configs/connections/{configID}","PUT /{domainID}/clients/configs/connections/{configID}"
"bootstrap","PUT","/{domainID}/clients/state/{configID}","PUT /{domainID}/clients/state/{configID}"
"bootstrap","GET","/clients/bootstrap/{externalId}","GET /clients/bootstrap/{externalId}"
"bootstrap","GET","/clients/bootstrap/secure/{externalId}","GET /clients/bootstrap/secure/{externalId}"
"bootstrap","GET","/health","GET /health"
"certs","GET","/{domainID}/certs","GET /{domainID}/certs"
"certs","DELETE","/{domainID}/certs/{entityID}/delete","DELETE /{domainID}/certs/{entityID}/delete"
"certs","GET","/{domainID}/certs/{id}","GET /{domainID}/certs/{id}"
"certs","PATCH","/{domainID}/certs/{id}/renew","PATCH /{domainID}/certs/{id}/renew"
"certs","PATCH","/{domainID}/certs/{id}/revoke","PATCH /{domainID}/certs/{id}/revoke"
"certs","POST","/{domainID}/certs/csrs/{entityID}","POST /{domainID}/certs/csrs/{entityID}"
"certs","POST","/{domainID}/certs/issue/{entityID}","POST /{domainID}/certs/issue/{entityID}"
"certs","GET","/certs/crl","GET /certs/crl"
"certs","POST","/certs/csrs/{entityID}","POST /certs/csrs/{entityID}"
"certs","GET","/certs/download-ca","GET /certs/download-ca"
"certs","POST","/certs/ocsp","POST /certs/ocsp"
"certs","GET","/certs/view-ca","GET /certs/view-ca"
"certs","GET","/health","GET /health"
"certs","GET","/metrics","GET /metrics"
"channels","GET","/{domainID}/channels","GET /{domainID}/channels"
"channels","POST","/{domainID}/channels","POST /{domainID}/channels"
"channels","DELETE","/{domainID}/channels/{chanID}","DELETE /{domainID}/channels/{chanID}"
"channels","GET","/{domainID}/channels/{chanID}","GET /{domainID}/channels/{chanID}"
"channels","PATCH","/{domainID}/channels/{chanID}","PATCH /{domainID}/channels/{chanID}"
"channels","POST","/{domainID}/channels/{chanID}/connect","POST /{domainID}/channels/{chanID}/connect"
"channels","POST","/{domainID}/channels/{chanID}/disable","POST /{domainID}/channels/{chanID}/disable"
"channels","POST","/{domainID}/channels/{chanID}/disconnect","POST /{domainID}/channels/{chanID}/disconnect"
"channels","POST","/{domainID}/channels/{chanID}/enable","POST /{domainID}/channels/{chanID}/enable"
"channels","DELETE","/{domainID}/channels/{chanID}/parent","DELETE /{domainID}/channels/{chanID}/parent"
"channels","POST","/{domainID}/channels/{chanID}/parent","POST /{domainID}/channels/{chanID}/parent"
"channels","PATCH","/{domainID}/channels/{chanID}/tags","PATCH /{domainID}/channels/{chanID}/tags"
"channels","POST","/{domainID}/channels/bulk","POST /{domainID}/channels/bulk"
"channels","POST","/{domainID}/channels/connect","POST /{domainID}/channels/connect"
"channels","POST","/{domainID}/channels/disconnect","POST /{domainID}/channels/disconnect"
"channels","GET","/health","GET /health"
"clients","GET","/{domainID}/clients","GET /{domainID}/clients"
"clients","POST","/{domainID}/clients","POST /{domainID}/clients"
"clients","DELETE","/{domainID}/clients/{clientID}","DELETE /{domainID}/clients/{clientID}"
"clients","GET","/{domainID}/clients/{clientID}","GET /{domainID}/clients/{clientID}"
"clients","PATCH","/{domainID}/clients/{clientID}","PATCH /{domainID}/clients/{clientID}"
"clients","POST","/{domainID}/clients/{clientID}/disable","POST /{domainID}/clients/{clientID}/disable"
"clients","POST","/{domainID}/clients/{clientID}/enable","POST /{domainID}/clients/{clientID}/enable"
"clients","DELETE","/{domainID}/clients/{clientID}/parent","DELETE /{domainID}/clients/{clientID}/parent"
"clients","POST","/{domainID}/clients/{clientID}/parent","POST /{domainID}/clients/{clientID}/parent"
"clients","GET","/{domainID}/clients/{clientID}/roles","GET /{domainID}/clients/{clientID}/roles"
"clients","POST","/{domainID}/clients/{clientID}/roles","POST /{domainID}/clients/{clientID}/roles"
"clients","DELETE","/{domainID}/clients/{clientID}/roles/{roleID}","DELETE /{domainID}/clients/{clientID}/roles/{roleID}"
"clients","GET","/{domainID}/clients/{clientID}/roles/{roleID}","GET /{domainID}/clients/{clientID}/roles/{roleID}"
"clients","PUT","/{domainID}/clients/{clientID}/roles/{roleID}","PUT /{domainID}/clients/{clientID}/roles/{roleID}"
"clients","GET","/{domainID}/clients/{clientID}/roles/{roleID}/actions","GET /{domainID}/clients/{clientID}/roles/{roleID}/actions"
"clients","POST","/{domainID}/clients/{clientID}/roles/{roleID}/actions","POST /{domainID}/clients/{clientID}/roles/{roleID}/actions"
"clients","POST","/{domainID}/clients/{clientID}/roles/{roleID}/actions/delete","POST /{domainID}/clients/{clientID}/roles/{roleID}/actions/delete"
"clients","POST","/{domainID}/clients/{clientID}/roles/{roleID}/actions/delete-all","POST /{domainID}/clients/{clientID}/roles/{roleID}/actions/delete-all"
"clients","GET","/{domainID}/clients/{clientID}/roles/{roleID}/members","GET /{domainID}/clients/{clientID}/roles/{roleID}/members"
"clients","POST","/{domainID}/clients/{clientID}/roles/{roleID}/members","POST /{domainID}/clients/{clientID}/roles/{roleID}/members"
"clients","POST","/{domainID}/clients/{clientID}/roles/{roleID}/members/delete","POST /{domainID}/clients/{clientID}/roles/{roleID}/members/delete"
"clients","POST","/{domainID}/clients/{clientID}/roles/{roleID}/members/delete-all","POST /{domainID}/clients/{clientID}/roles/{roleID}/members/delete-all"
